key,uk,eng
hello,привіт,hello
world,світ,world
apology,вибачення,apology
account,рахунок,account
bargain,угода,bargain
department store,універмаг,department store
charity,благодійність,charity
parcel,посилка,parcel
branch,відділення,branch
advantage,перевага,advantage
phrase,фраза,phrase
purpose,мета,purpose
consequence,наслідок,consequence
condition,умова,condition
relatives,родичі,relatives
vehicle,транспортний засіб,vehicle
risk,ризик,risk
stall,кіоск,stall
attractions,пам'ятки,attractions
ferry,пором,ferry
lawn,газон,lawn
rake,граблі,rake
departure,відправлення,departure
disease,хвороба,disease
possibility,можливість,possibility
dock,пристань,dock
funeral,похорон,funeral
attempt,спроба,attempt
advantage,перевага,advantage
disadvantage,недолік,disadvantage
trust,довіра,trust
plot,сюжет,plot
sitcom,ситком,sitcom
bungalow,бунгало,bungalow
tuition,навчання,tuition
shift,зміна,shift
refund,відшкодування,refund
receipt,чек,receipt
jumper,светр,jumper
appearance,зовнішність,appearance
pitch,майданчик,pitch
encouragement,заохочення,encouragement
victim,жертва,victim
awareness,усвідомлення,awareness
campaign,кампанія,campaign
income,дохід,income
intention,намір,intention
fare,плата за проїзд,fare
degree,ступінь,degree
graduate,випускник,graduate
even,навіть,even
on daily basis,щодня,on daily basis
challenge,виклик,challenge
delay,затримка,delay
entertainment,розваги,entertainment
removal,видалення,removal
facility,зручність,facility
wallet,гаманець,wallet
crops,врожай,crops
generation,покоління,generation
harm,шкода,harm
employment,зайнятість,employment
opportunities,можливості,opportunities
rabies,сказ,rabies
possibilities,можливості,possibilities
departure,відправлення,departure
poison,отрута,poison
reunion,возз'єднання,reunion
purchase,покупка,purchase
orphanage,притулок для сиріт,orphanage
marvel,диво,marvel
garbage,сміття,garbage
litter,сміття,litter
drizzle,мряка,drizzle
church,церква,church
graph,графік,graph
neat,акуратний,neat
attitude,ставлення,attitude
attention,увага,attention
fee,плата,fee
frost,мороз,frost
lack of,відсутність,lack of
announcement,оголошення,announcement
drought,посуха,drought
failure,невдача,failure
tip,порада,tip
patch,пляма,patch
delay,затримка,delay
outcome,результат,outcome
whining,скиглення,whining
invitation,запрошення,invitation
article,стаття,article
pavement,тротуар,pavement
sweet tooth,солодкоїжка,sweet tooth
peninsula,півострів,peninsula
glacier,льодовик,glacier
settlers,поселенці,settlers
range,діапазон,range
descendants,нащадки,descendants
facilities,зручності,facilities
dust,пил,dust
minors,неповнолітні,minors
litter,сміття,litter
misery,страждання,misery
tears,сльози,tears
cello,віолончель,cello
string,струна,string
embarrassment,збентеження,embarrassment
surgery,хірургія,surgery
stretcher,носилки,stretcher
crash,аварія,crash
splash,сплеск,splash
bang,вибух,bang
howl,виття,howl
path,шлях,path
shape,форма,shape
sorts,види,sorts
belief,віра,belief
evidence,доказ,evidence
decrease,зменшення,decrease
residents,мешканці,residents
community,спільнота,community
pharmacy,аптека,pharmacy
relief,полегшення,relief
aim,ціль,aim
key,uk,eng
meet out,зустрітися зовні,meet out
come over,завітати,come over
eat out,їсти не вдома,eat out
stay up,не лягати спати,stay up
get in,увійти,get in
get out,вийти,get out
fancy,подобатися,fancy
get on,ладнати,get on
left a note,залишив записку,left a note
meet up,зустрітися,meet up
argue,сперечатися,argue
set off,вирушати,set off
to lead,вести,to lead
waste,марнувати,waste
bargain,угода,bargain
pick up,підняти,pick up
suffer,страждати,suffer
recover,відновитися,recover
store,зберігати,store
lean out,висовуватися,lean out
behave,поводитися,behave
gained,отримав,gained
come up,підійти,come up
evaluate,оцінити,evaluate
manage,впоратися,manage
run out,закінчитися,run out
set up,влаштувати,set up
regret,шкодувати,regret
attract,приваблювати,attract
demand,вимагати,demand
involve,залучати,involve
to engage,залучати,to engage
advertise,рекламувати,advertise
convince,переконувати,convince
aware,обізнаний,aware
depart,відправлятися,depart
behave,поводитися,behave
to call names,обзивати,to call names
trust,довіряти,trust
assume,припускати,assume
struggle,боротися,struggle
whisper,шепотіти,whisper
bothered,занепокоєний,bothered
take place,відбуватися,take place
get rid,позбутися,get rid
obstruct,перешкоджати,obstruct
stick,прилипати,stick
increase,збільшуватися,increase
track,відстежувати,track
seek,шукати,seek
to measure,вимірювати,to measure
overcome,долати,overcome
bear,терпіти,bear
expect,очікувати,expect
accept,приймати,accept
deserted,занедбаний,deserted
insult,образа,insult
fell out,посварилися,fell out
stood up,підвівся,stood up
go on,продовжувати,go on
apply,застосовувати,apply
obey,підкорятися,obey
burst,вибухати,burst
roar,ревіти,roar
embarrass,збентежити,embarrass
attend,відвідувати,attend
estimate,оцінювати,estimate
occur,відбуватися,occur
key,uk,eng
achieve,досягати,achieve
admit,визнавати,admit
afford,дозволити собі,afford
allow,дозволяти,allow
announce,оголошувати,announce
appear,з’являтися,appear
arrange,організовувати,arrange
arrest,арештувати,arrest
arrive,прибувати,arrive
assist,допомагати,assist
attend,відвідувати,attend
attract,приваблювати,attract
avoid,уникати,avoid
behave,поводитися,behave
believe,вірити,believe
belong,належати,belong
borrow,позичати,borrow
breathe,дихати,breathe
build,будувати,build
calculate,розраховувати,calculate
cancel,скасовувати,cancel
celebrate,святкувати,celebrate
change,змінювати,change
choose,вибирати,choose
clean,чистити,clean
climb,підніматися,climb
collect,збирати,collect
complain,скаржитися,complain
complete,завершувати,complete
confirm,підтверджувати,confirm
connect,з'єднувати,connect
consider,розглядати,consider
continue,продовжувати,continue
control,контролювати,control
cook,готувати,cook
copy,копіювати,copy
correct,виправляти,correct
count,рахувати,count
create,створювати,create
criticize,критикувати,criticize
decide,вирішувати,decide
deliver,доставляти,deliver
deny,заперечувати,deny
describe,описувати,describe
destroy,знищувати,destroy
develop,розвивати,develop
discover,відкривати,discover
discuss,обговорювати,discuss
divide,ділити,divide
draw,малювати,draw
dress,вдягатися,dress
drive,водити,drive
earn,заробляти,earn
educate,навчати,educate
encourage,заохочувати,encourage
enjoy,насолоджуватися,enjoy
examine,перевіряти,examine
exist,існувати,exist
expand,розширювати,expand
expect,очікувати,expect
explain,пояснювати,explain
explore,досліджувати,explore
express,виражати,express
fail,зазнати невдачі,fail
fall,падати,fall
feed,годувати,feed
feel,відчувати,feel
fight,боротися,fight
find,знаходити,find
finish,завершувати,finish
fix,виправляти,fix
follow,слідувати,follow
forget,забувати,forget
forgive,прощати,forgive
